grup;identificador;identificador_svy;categoria;codi_resposta;resposta_18;resposta_16;font;enllac_font;any;res_18;esp_18;res_16;esp_16;esp_18_21
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;62;Femení i 25 a 34 anys;Femení i 25 a 34 anys;Idescat;sol·licitud de dades;2023;7,05;5,65;6,87;5,49;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;63;Femení i 35 a 49 anys;Femení i 35 a 49 anys;Idescat;sol·licitud de dades;2023;13,75;12,76;13,4;12,41;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;64;Femení i 50 a 64 anys;Femení i 50 a 64 anys;Idescat;sol·licitud de dades;2023;12,71;13,66;12,37;13,29;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;65;Femení i més 64 anys;Femení i més 64 anys;Idescat;sol·licitud de dades;2023;13,36;15,47;13,02;15,05;
Població*;LLOC_NAIX;LLOC_NAIX_SVY;Lloc de naix;1;Catalunya;Catalunya;Idescat;sol·licitud de dades;2022;58,26;69,59;58,92;70,22;
Població*;LLOC_NAIX;LLOC_NAIX_SVY;Lloc de naix;2;Altres comunitats autònomes;Altres comunitats autònomes;Idescat;sol·licitud de dades;2022;18,06;21,59;17,65;21,06;
Població*;LLOC_NAIX;LLOC_NAIX_SVY;Lloc de naix;5;Fora d'Espanya;Fora d'Espanya;Idescat;sol·licitud de dades;2022;23,67;8,82;23,43;8,72;
Població*;PROVINCIA;PROVINCIA_SVY;Província;8;Barcelona;Barcelona;Idescat;sol·licitud de dades;2022;73,7;74,35;73,69;74,34;
Població*;PROVINCIA;PROVINCIA_SVY;Província;17;Girona;Girona;Idescat;sol·licitud de dades;2022;10,07;9,58;10,08;9,59;
Població*;PROVINCIA;PROVINCIA_SVY;Província;25;Lleida;Lleida;Idescat;sol·licitud de dades;2022;5,66;5,53;5,66;5,52;
Població*;PROVINCIA;PROVINCIA_SVY;Província;43;Tarragona;Tarragona;Idescat;sol·licitud de dades;2022;10,57;10,55;10,58;10,55;
Població*;SEXE;SEXE_SVY;Sexe;1;Masculí;Masculí;Idescat;sol·licitud de dades;2022;48,71;48,13;48,78;48,21;
Població*;SEXE;SEXE_SVY;Sexe;2;Femení;Femení;Idescat;sol·licitud de dades;2022;51,29;51,87;51,22;51,79;
Població*;EDAT_GR;EDAT_GR_SVY;Franges edat;1;18 a 24 anys;16 a 24 anys;Idescat;sol·licitud de dades;2022;8,95;8,61;11,28;11,06;
Població*;EDAT_GR;EDAT_GR_SVY;Franges edat;2;25 a 34 anys;25 a 34 anys;Idescat;sol·licitud de dades;2022;14,16;11,46;13,79;11,16;
Població*;EDAT_GR;EDAT_GR_SVY;Franges edat;3;35 a 49 anys;35 a 49 anys;Idescat;sol·licitud de dades;2022;28,48;26,35;27,75;25,65;
Població*;EDAT_GR;EDAT_GR_SVY;Franges edat;4;50 a 64 anys;50 a 64 anys;Idescat;sol·licitud de dades;2022;25,02;26,66;24,37;25,94;
Població*;EDAT_GR;EDAT_GR_SVY;Franges edat;5;Més 64 anys;Més 64 anys;Idescat;sol·licitud de dades;2022;23,4;26,92;22,8;26,2;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;11;Masculí i 18 a 24 anys;Masculí i 16 a 24 anys;Idescat;sol·licitud de dades;2022;4,65;4,42;5,86;5,68;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;12;Masculí i 25 a 34 anys;Masculí i 25 a 34 anys;Idescat;sol·licitud de dades;2022;7,17;5,85;6,99;5,69;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;13;Masculí i 35 a 49 anys;Masculí i 35 a 49 anys;Idescat;sol·licitud de dades;2022;14,44;13,21;14,07;12,86;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;14;Masculí i 50 a 64 anys;Masculí i 50 a 64 anys;Idescat;sol·licitud de dades;2022;12,39;13,1;12,07;12,74;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;15;Masculí i més 64 anys;Masculí i més 64 anys;Idescat;sol·licitud de dades;2022;10,06;11,56;9,8;11,25;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;61;Femení i 18 a 24 anys;Femení i 16 a 24 anys;Idescat;sol·licitud de dades;2022;4,29;4,19;5,42;5,38;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;62;Femení i 25 a 34 anys;Femení i 25 a 34 anys;Idescat;sol·licitud de dades;2022;6,98;5,62;6,8;5,47;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;63;Femení i 35 a 49 anys;Femení i 35 a 49 anys;Idescat;sol·licitud de dades;2022;14,05;13,14;13,69;12,79;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;64;Femení i 50 a 64 anys;Femení i 50 a 64 anys;Idescat;sol·licitud de dades;2022;12,63;13,56;12,31;13,2;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;65;Femení i més 64 anys;Femení i més 64 anys;Idescat;sol·licitud de dades;2022;13,34;15,36;13;14,95;
Població*;ESTUDIS;ESTUDIS_SVY;Educació;1;Educació primària o inferior;Educació primària o inferior;Idescat;sol·licitud de dades;2019;16,61;15,14;16,68;15,17;
Població*;ESTUDIS;ESTUDIS_SVY;Educació;2;Educació secundària i similar;Educació secundària i similar;Idescat;sol·licitud de dades;2019;50,44;51,13;51,16;51,93;
Població*;ESTUDIS;ESTUDIS_SVY;Educació;3;Educació superior;Educació superior;Idescat;sol·licitud de dades;2019;32,95;33,73;32,16;32,91;
Població*;ESTUDIS;ESTUDIS_SVY;Educació;1;Educació primària o inferior;Educació primària o inferior;Idescat;sol·licitud de dades;2021;;13,2;;;
Població*;ESTUDIS;ESTUDIS_SVY;Educació;2;Educació secundària i similar;Educació secundària i similar;Idescat;sol·licitud de dades;2021;;50,63;;;
Població*;ESTUDIS;ESTUDIS_SVY;Educació;3;Educació superior;Educació superior;Idescat;sol·licitud de dades;2021;;36,17;;;
Població*;ESTUDIS_2;ESTUDIS_SVY_2;Educació_2;1;Obligatoris o inferiors;Obligatoris o inferiors;Idescat;sol·licitud de dades;2021;;39,45;;;
Població*;ESTUDIS_2;ESTUDIS_SVY_2;Educació_2;2;Secundaris;Secundaris;Idescat;sol·licitud de dades;2021;;24,38;;;
Població*;ESTUDIS_2;ESTUDIS_SVY_2;Educació_2;3;Superiors;Superiors;Idescat;sol·licitud de dades;2021;;36,17;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;PP;PP;1;1;2021;;1,95;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;ERC;ERC;3;3;2021;;10,77;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;PSC/PSOE;PSC/PSOE;4;4;2021;;11,64;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;Ciudadanos;Ciudadanos;6;6;2021;;2,82;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;CUP;CUP;10;10;2021;;3,38;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;En Comú Podem;En Comú Podem;18;18;2021;;3,47;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;Junts per Catalunya;Junts per Catalunya;21;21;2021;;10,14;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;Vox;Vox;23;23;2021;;3,88;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;Altres;Altres;80;80;2021;;0,97;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;Nul;Nul;;;2021;;1,43;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;En blanc;En blanc;;;2021;;0,84;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;No va votar;No va votar;;;2021;;48,71;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;NS;NS;;;2021;;0;;;
Població*;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_SVY;Record de vot;;NC;NC;;;2021;;0;;;
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;1;1;1;;;2023;17,32;17,36;17,29;17,34;
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;2;2;2;;;2023;15,89;15,06;15,89;15,07;
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;3;3;3;;;2023;23,18;23,7;23,21;23,72;
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;4;4;4;;;2023;6,27;6,68;6,27;6,67;
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;5;5;5;;;2023;15,33;15,82;15,34;15,82;
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;6;6;6;;;2023;21,39;20,71;21,38;20,71;
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;NA;NA;NA;;;2023;0,62;0,67;0,62;0,67;
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;1;1;1;;;2021;17,5;17,56;17,47;17,54;17,69
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;2;2;2;;;2021;15,89;15,1;15,89;15,1;15,24
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;3;3;3;;;2021;23,36;23,87;23,39;23,89;23,83
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;4;4;4;;;2021;6,32;6,71;6,32;6,71;6,67
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;5;5;5;;;2021;15,48;15,94;15,49;15,93;15,9
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;6;6;6;;;2021;21,3;20,68;21,29;20,68;20,66
Població*;CLUSTER21;CLUSTER21_SVY;Cluster;NA;NA;NA;;;2021;0,15;0,14;0,15;0,14;
Població*;EDAT_GENERACIONS;EDAT_GENERACIONS_SVY;Edat generacions;2;Generació silenciosa;Generació silenciosa;;extret a partir informació passada pel Joel al Teams de Panel;2023;;;6,6;;
Població*;EDAT_GENERACIONS;EDAT_GENERACIONS_SVY;Edat generacions;3;Baby-boomers;Baby-boomers;;extret a partir informació passada pel Joel al Teams de Panel;2023;;;22,9;;
Població*;EDAT_GENERACIONS;EDAT_GENERACIONS_SVY;Edat generacions;4;Generació X;Generació X;;extret a partir informació passada pel Joel al Teams de Panel;2023;;;31,3;;
Població*;EDAT_GENERACIONS;EDAT_GENERACIONS_SVY;Edat generacions;5;Millennials;Millennials;;extret a partir informació passada pel Joel al Teams de Panel;2023;;;23,8;;
Població*;EDAT_GENERACIONS;EDAT_GENERACIONS_SVY;Edat generacions;6;Generació Z;Generació Z;;extret a partir informació passada pel Joel al Teams de Panel;2023;;;15,3;;
Població*;HABITAT;HABITAT_SVY;Grandària municipi;1;<10.000;<10.000;Idescat;sol·licitud de dades;2023;18,26;19,46;18,29;19,47;
Població*;HABITAT;HABITAT_SVY;Grandària municipi;2;10.001-50.000;10.001-50.000;Idescat;sol·licitud de dades;2023;27,89;28,2;27,95;28,27;
Població*;HABITAT;HABITAT_SVY;Grandària municipi;3;50.001-150.000;50.001-150.000;Idescat;sol·licitud de dades;2023;20,22;20,38;20,26;20,42;
Població*;HABITAT;HABITAT_SVY;Grandària municipi;4;150.001-1.000.000;150.001-1.000.000;Idescat;sol·licitud de dades;2023;11,88;11,88;11,88;11,88;
Població*;HABITAT;HABITAT_SVY;Grandària municipi;5;>1.000.000;>1.000.000;Idescat;sol·licitud de dades;2023;21,75;20,08;21,61;19,96;
